"SYMBOL" "ENTREZID"
"ARX" "170302"
"CDR1" "1038"
"TP73" "7161"
"TCEAL7" "56849"
"SNX12" "29934"
"CSAG4" "100130935"
"MAGEC2" "51438"
"TGIF2LX" "90316"
"LAMC2" "3918"
"FGF13" "2258"
"KLHL34" "257240"
"SLITRK2" "84631"
"ACTA1" "58"
"CITED1" "4435"
"BCOR" "54880"
"PBDC1" "51260"
"TTC39A" "22996"
"KCNE5" "23630"
"TAF7L" "54457"
"GABRA3" "2556"
"PAGE2B" "389860"
"PRRX1" "5396"
"IL12RB2" "3595"
"MAGEB6" "158809"
"BARHL2" "343472"
"ESRRG" "2104"
"MAGEB16" "139604"
"NGF" "4803"
"FOXD2" "2306"
"HTR2C" "3358"
"FAM47B" "170062"
"LINC00982" "440556"
"PGBD5" "79605"
"FAM47C" "442444"
"MAGEA1" "4100"
"MID1" "4281"
"TAL1" "6886"
"MIR5087" "100847044"
"FAM47A" "158724"
"NPHP4" "261734"
"GPRASP1" "9737"
"MIR503" "574506"
"RSG1" "79363"
"ARSH" "347527"
"OBSCN-AS1" "574407"
"TIMP1" "7076"
"KIAA1324" "57535"
"NBPF13P" "644861"
"HES5" "388585"
"FHL1" "2273"
"CAMK2N1" "55450"
"DCAF12L1" "139170"
"CEP85" "64793"
"BTBD19" "149478"
"ALX3" "257"
"PAGE3" "139793"
"SEMA6C" "10500"
"TBX15" "6913"
"TACSTD2" "4070"
"OPRD1" "4985"
"MANEAL" "149175"
"CFAP45" "25790"
"UBL4B" "164153"
"PLCH2" "9651"
"H2BFM" "286436"
"NUDT10" "170685"
"BEST4" "266675"
"CCNQ" "92002"
"MIR507" "574512"
"COL11A1" "1301"
"SLC30A2" "7780"
"GNG4" "2786"
"MIR205HG" "642587"
"IRS4" "8471"
"OR2M3" "127062"
"MIR890" "100126303"
"XKR8" "55113"
"DMBX1" "127343"
"PHKA1" "5255"
"HPCAL4" "51440"
"UTP14A" "10813"
"AJAP1" "55966"
"CIART" "148523"
"LRRC7" "57554"
"COL9A2" "1298"
"ARTN" "9048"
"RUNX3" "864"
"LHX9" "56956"
"COL24A1" "255631"
"PCSK9" "255738"
"TRIM11" "81559"
"WASF2" "10163"
"TEX13A" "56157"
"MIR223" "407008"
"EGFL6" "25975"
"VENTXP1" "139538"
"MIR106A" "406899"
"MCOLN2" "255231"
"ARHGAP36" "158763"
"ZNF185" "7739"
"ERAS" "3266"
"LCE1A" "353131"
"OR2T29" "343563"
"PAGE1" "8712"
